"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"NIH-CIT SmartCardVerify","2-Factor Authentication software developed and maintained by the NIH Center for Info Technology.  It is for Client Engineering's Macintosh Centralization and Management Project","Building Management",Denied,Server,-
"NodeJS 14.x","Upgrade NodeJS approval from v10 to v14 Current approved version of NodeJS in GEAR is version 10.  To be able to run some of the tools and libraries which depend on nodejs, version 12 or higher is required.  One such example is AWS CDK which is used by the FSS-19 team.","Development Tool",Approved,Desktop,2022-11-18
"NonVisual Desktop Access (NVDA) 2021.x","While Assistive Technology (AT) should not be the primary tool used to evaluate accessibility standards conformance of an ICT product, AT may be needed to verify conformance of some products when conformance cannot be verified via traditional methods.

One example is that when an electronic document author uses Adobe LiveCycle or InDesign to create a PDF-based electronic form, testers are unable to use Acrobat Pro DC to verify some of the PDF file's properties such as title, language and form field labeling. Thus, in order to perform ""some"" level of an evaluation, using AT allows the tester to verify, for example, that a field label is properly configured based on what is announced by the AT. While Microsoft Narrate is helpful, NVDA would provide a more robust experience at no-cost to the government.   

https://www.nvaccess.org/","Screen Reader",Approved,Desktop,2022-12-31
"NoSQL Workbench for DynamoDB","This is a key AWS tool for DynamoDB especially with needs around NoSQL data structures etc.  NoSQL Workbench for Amazon DynamoDB is a cross-platform client-side GUI application for modern database development and operations and is available for Windows, macOS, and Linux.  NoSQL Workbench is a unified visual IDE tool that provides data modeling, data visualization, and query development features to help you design, create, query, and manage DynamoDB tables.

https://docs.aws.amazon.com/dynamodb/index.html","Data Management",Approved,Desktop,2023-03-22
"Notepad++ 8.x","This is a request to update Notepad ++ 7.X approval to the Notepad++ 8.0 version.  Note - Desktop software allowed for usage on Servers and Desktops.","IDE-Integrated Development Environment",Approved,Desktop,2023-12-31
"Novell eDirectory 8","Novell Directory Services. NDS maintains a hierarchical database of information about the network resources within a global enterprise, including networks, users, subgroups, servers, volumes and printers. Its users log onto the network as a whole, not a s","Supporting Network Services",Sunsetting,Server,2018-04-01
Npgsql,"Npgsql is an opensource library for .NET that allows the framework to work with (talk to) a Postgres database.  Right now there is no approved way programmatically to connect to a PostgreSQL database from .NET.  This is a problem for several applications but especially the National Advanced Locator, used as a proxy for RExUS to get building locations geocoded",Plugins/Libraries,Approved,Desktop,2023-04-14
ntouch,"Assistive technology software that enables deaf/hard-of-hearing employees to make and receive phone calls via a sign language interpreter over video.","Assistive Technology",Denied,Desktop,-
"Nuance Autostore 7","AutoStore is a server-based application which orchestrates the capture and secure delivery of paper and electronic documents into business pplications. It is well suited for organizations of all sizes who want to eliminate error-prone manual document handling.","Document Management",Denied,Server,-
"Nuance Communications Dragon NaturallySpeaking 11","Dragon NaturallySpeaking is the world’s best-selling speech recognition software for the computer. Create documents, spreadsheets and email simply by speaking. Control your computer by voice to open applications, create files, search the Web, schedule meetings, and more.","Speech Recognition",Sunsetting,Desktop,2018-07-01
"Nuance Communications Dragon NaturallySpeaking 12","Dragon NaturallySpeaking is the world’s best-selling speech recognition software for the computer. Create documents, spreadsheets and email simply by speaking. It’s three times faster than typing and delivers up to 99% accuracy. Control your computer by voice to open applications, create files, search the Web, schedule meetings, and more.","Speech Recognition",Sunsetting,Desktop,2018-07-01
"Nuance Communications Dragon NaturallySpeaking 15.x","Dragon NaturallySpeaking is the world's best-selling speech recognition software for the computer. Create documents, spreadsheets and email simply by speaking. It's three times faster than typing and delivers up to 99% accuracy. Control your computer by voice to open applications, create files, search the Web, schedule meetings, and more.","Assistive Technology",Approved,Desktop,2022-12-31
"Nuance Communications PDF Converter 5","PDF Converter Professional is a complete PDF solution designed specifically for the business user. It gives you everything you need to create, convert, and edit PDF files. You can create PDFs from basically all PC applications, and turn PDF files back into Microsoft Word, Excel, PowerPoint, XPS, and Corel WordPerfect documents that are editable and fully-formatted.","PDF Software",Denied,Desktop,-
"Nuance Communications PDF Converter Enterprise 7.x","PDF Converter Enterprise is a complete PDF solution designed specifically for the business user. It gives you everything you need to create, convert, and edit PDF files. You can create PDFs from basically all PC applications, and turn PDF files back into Microsoft Word, Excel, PowerPoint, XPS, and Corel WordPerfect documents that are editable and fully-formatted.","PDF Software",Denied,Desktop,-
"Nuance Communications PDF Converter Pro 6","PDF Converter Enterprise has been designed with a more robust feature set specifically designed for medium to large organizations.PDF Converter is a complete PDF solution designed specifically for the business user. It gives you everything you need to create, convert, and edit PDF files. You can create PDFs from basically all PC applications, and turn PDF files back into Microsoft Word, Excel, PowerPoint, XPS, and Corel WordPerfect documents that are editable and fully-formatted.","PDF Software",Denied,Desktop,-
